iter	RMSE
185	0.1876269372
186	0.1875972535
187	0.1875679872
188	0.1875674304
189	0.1875403817
190	0.1875076234
191	0.1874718513
192	0.1874479092
193	0.1874243606
194	0.1873806865
195	0.1873584881
196	0.1873339622
197	0.1873185796
198	0.1873004202
199	0.1872797839
200	0.1872605589
201	0.1872324942
202	0.1872167621
203	0.1871834582
204	0.1871829554
205	0.18718235
206	0.1871504725
207	0.1871103852
208	0.1870940964
209	0.1870770143
210	0.1870569104
211	0.1870563474
212	0.1870558184
213	0.1870336269
214	0.1870092235
215	0.1869980743
216	0.1869732974
217	0.1869559611
218	0.186928976
219	0.186928533
220	0.1868986334
221	0.1868687981
222	0.1868447156
223	0.1868219853
224	0.1868024433
225	0.1867806531
226	0.1867545637
227	0.1867378898
228	0.1867115017
229	0.1866941961
230	0.1866770123
231	0.1866557351
232	0.1866436537
233	0.186643325
234	0.1866294712
235	0.1865849365
236	0.1865845725
237	0.186582494
238	0.1865568809
239	0.1865285056
240	0.1864987683
241	0.1864780366
242	0.1864603155
243	0.1864483526
244	0.1864305292
245	0.1864166124
246	0.1864161398
247	0.1864155033
248	0.1863772868
249	0.186363598
250	0.1863508512
251	0.1863256952
252	0.1863099516
253	0.1862907894
254	0.1862667034
255	0.1862474256
256	0.1862333987
257	0.1862228922
258	0.1862224417
259	0.1862034174
260	0.1861803303
261	0.1861554554
262	0.1861452591
263	0.1861286884
264	0.1861074247
265	0.1860797604
266	0.186047549
267	0.1860399379
268	0.1860237217
269	0.1860142723
270	0.1860137061
271	0.1860004818
272	0.185985291
273	0.1859849972
274	0.1859834095
275	0.1859460748
276	0.1859236488
277	0.1858952617
278	0.1858756075
279	0.1858568553
280	0.1858382291
281	0.1858169741
282	0.185797612
283	0.185780125
284	0.1857706405
285	0.1857438958
286	0.1857210511
287	0.185700268
288	0.1856838873
289	0.1856666904
290	0.1856335956
291	0.1856288184
292	0.1856144197
293	0.1856052953
294	0.1855849273
295	0.185567212
296	0.1855642179
297	0.1855639322
298	0.1855514446
299	0.18555121
300	0.1855386318
301	0.1855374548
302	0.1855213967
303	0.1854952729
304	0.1854742596
305	0.1854575865
306	0.1854386267
307	0.1854269896
308	0.1854177494
309	0.1853780963
310	0.1853779068
311	0.1853683603
312	0.185354086
313	0.1853538147
314	0.1853356616
315	0.1852997484
316	0.1852711901
317	0.1852549203
318	0.1852540637
319	0.1852344163
320	0.1852229547
321	0.1852078835
322	0.1851937925
323	0.1851708679
324	0.185157212
325	0.1851451396
326	0.1851218522
327	0.185096555
328	0.1850848417
329	0.1850754239
330	0.1850319383
331	0.1850316947
332	0.1850135911
333	0.1849873302
334	0.1849747376
335	0.1849523595
336	0.184938689
337	0.1849141635
338	0.1848872894
339	0.1848785996
340	0.1848572038
341	0.1848374806
342	0.1848162474
343	0.184806236
344	0.1848010373
345	0.1847896179
346	0.1847628589
347	0.1847505098
348	0.1847396034
349	0.1847205699
350	0.1846999015
351	0.1846905779
352	0.1846755086
353	0.18464913
354	0.1846382749
355	0.1846209698
356	0.1846003014
357	0.184583933
358	0.1845637962
359	0.1845543467
360	0.1845401063
361	0.1845183881
362	0.1844926599
363	0.1844609052
364	0.1844460887
365	0.1844246577
366	0.1844094185
367	0.1843926507
368	0.1843809281
369	0.1843684088
370	0.18434613
371	0.184342549
372	0.1843149985
373	0.1843033984
374	0.1842950533
375	0.1842811966
376	0.184271812
377	0.1842697811
378	0.1842621487
379	0.184236788
380	0.1842255738
381	0.1842165252
382	0.184203758
383	0.1841913237
384	0.1841701635
385	0.1841584573
386	0.1841383862
387	0.1841243487
388	0.1841102204
389	0.1840786185
390	0.1840600152
391	0.1840520548
392	0.1840325917
393	0.1840102136
394	0.18400587
395	0.1839848927
396	0.1839667208
397	0.1839601842
398	0.1839597817
399	0.1839489194
400	0.1839290667
401	0.1839097449
402	0.1839034685
403	0.183884489
404	0.183857675
405	0.1838402597
406	0.1838268691
407	0.1838091227
408	0.183799108
409	0.1837679878
410	0.1837581745
411	0.1837377475
412	0.1837273783
413	0.1837196623
414	0.1837031746
415	0.1836761411
416	0.1836472304
417	0.1836307208
418	0.1836141997
419	0.1836006758
420	0.1835857216
421	0.1835735069
422	0.183555
423	0.1835380461
424	0.1835112348
425	0.1834935181
426	0.183492232
427	0.1834919057
428	0.1834842257
429	0.1834619257
430	0.183448784
431	0.1834460099
432	0.1834402475
433	0.1834289714
434	0.1834032952
435	0.1833833081
436	0.1833692649
437	0.1833601139
438	0.1833420589
439	0.1833292329
440	0.1833290551
441	0.1833267925
442	0.1833114135
443	0.1832919073
444	0.183284221
445	0.1832715376
446	0.1832587954
447	0.183252116
448	0.1832362851
449	0.1832185921
450	0.1832184154
451	0.1832108173
452	0.1831975809
453	0.1831909972
454	0.1831731605
455	0.1831651429
456	0.1831430019
457	0.1831298253
458	0.1831162527
459	0.183109077
460	0.1831015547
461	0.1830950336
462	0.1830761126
463	0.1830597802
464	0.1830390883
465	0.1830237489
466	0.1830019508
467	0.1829900399
468	0.1829696493
469	0.1829686959
470	0.1829608849
471	0.1829574191
472	0.1829425067
473	0.1829319403
474	0.1829248658
475	0.1829080837
476	0.1828990433
477	0.1828840319
478	0.1828666124
479	0.1828497881
480	0.182836512
481	0.1828227067
482	0.182813608
483	0.1827924842
484	0.1827827365
485	0.1827638545
486	0.1827354767
487	0.1827199182
488	0.1827085459
489	0.1826834223
490	0.1826674499
491	0.1826514793
492	0.1826430973
493	0.1826352055
494	0.1826252124
495	0.1826140156
496	0.1826041674
497	0.1826030723
498	0.182574094
499	0.1825618575
